acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.8767659999999999,0.9323959999999999,10213.2,0,autogluon,openml.org/t/7592,,,local,22.0,22.0,,135.30200000000002,0.9323959999999999,271454922,stable,adult,2020-02-01T07:47:14,0.0.5
0.878403,0.9287690000000001,10487.0,1,autogluon,openml.org/t/7592,,,local,22.0,22.0,,91.4889,0.9287690000000001,271454923,stable,adult,2020-02-01T10:46:11,0.0.5
0.8726450000000001,0.93211,10707.7,2,autogluon,openml.org/t/7592,,,local,22.0,22.0,,86.1231,0.93211,271454924,stable,adult,2020-02-01T13:48:39,0.0.5
0.869984,0.928557,10083.4,3,autogluon,openml.org/t/7592,,,local,22.0,22.0,,82.7268,0.928557,271454925,stable,adult,2020-02-01T16:40:46,0.0.5
0.874079,0.928322,10685.2,4,autogluon,openml.org/t/7592,,,local,22.0,22.0,,76.4513,0.928322,271454926,stable,adult,2020-02-01T19:42:50,0.0.5
0.872031,0.9260709999999999,10541.7,5,autogluon,openml.org/t/7592,,,local,22.0,22.0,,68.6826,0.9260709999999999,271454927,stable,adult,2020-02-01T22:42:16,0.0.5
0.872236,0.932111,10262.8,6,autogluon,openml.org/t/7592,,,local,22.0,22.0,,81.9061,0.932111,271454928,stable,adult,2020-02-02T01:37:25,0.0.5
0.8761260000000001,0.93273,10440.0,7,autogluon,openml.org/t/7592,,,local,22.0,22.0,,79.0397,0.93273,271454929,stable,adult,2020-02-02T04:35:26,0.0.5
0.883292,0.938768,10182.3,8,autogluon,openml.org/t/7592,,,local,22.0,22.0,,114.75299999999999,0.938768,271454930,stable,adult,2020-02-02T07:29:43,0.0.5
0.878583,0.935197,10528.0,9,autogluon,openml.org/t/7592,,,local,22.0,22.0,,112.324,0.935197,271454931,stable,adult,2020-02-02T10:29:51,0.0.5
0.659393,0.712066,14470.3,0,autogluon,openml.org/t/189354,,,local,17.0,17.0,,710.077,0.712066,373322571,stable,Airlines,2020-02-01T09:38:09,0.0.5
0.66045,0.713761,14502.5,1,autogluon,openml.org/t/189354,,,local,17.0,17.0,,709.791,0.713761,373322572,stable,Airlines,2020-02-01T14:24:07,0.0.5
0.661099,0.7132029999999999,14491.4,2,autogluon,openml.org/t/189354,,,local,16.0,16.0,,793.738,0.7132029999999999,373322573,stable,Airlines,2020-02-01T19:11:42,0.0.5
0.6597390000000001,0.713976,14515.5,3,autogluon,openml.org/t/189354,,,local,18.0,18.0,,734.7289999999999,0.713976,373322574,stable,Airlines,2020-02-02T00:00:23,0.0.5
0.657273,0.710443,14525.6,4,autogluon,openml.org/t/189354,,,local,17.0,17.0,,723.373,0.710443,373322575,stable,Airlines,2020-02-02T04:48:56,0.0.5
0.6580699999999999,0.709659,14525.3,5,autogluon,openml.org/t/189354,,,local,17.0,17.0,,725.25,0.709659,373322576,stable,Airlines,2020-02-02T09:36:04,0.0.5
0.662297,0.7143970000000001,13453.6,6,autogluon,openml.org/t/189354,,,local,16.0,16.0,,716.545,0.7143970000000001,373322577,stable,Airlines,2020-02-02T14:03:50,0.0.5
0.659405,0.711212,14491.2,7,autogluon,openml.org/t/189354,,,local,17.0,17.0,,687.9730000000001,0.711212,373322578,stable,Airlines,2020-02-02T18:48:25,0.0.5
0.658849,0.712056,14469.7,8,autogluon,openml.org/t/189354,,,local,16.0,16.0,,722.002,0.712056,373322579,stable,Airlines,2020-02-02T23:33:12,0.0.5
0.663354,0.71622,14526.6,9,autogluon,openml.org/t/189354,,,local,17.0,17.0,,663.178,0.71622,373322580,stable,Airlines,2020-02-03T04:18:47,0.0.5
0.695936,0.768048,14516.3,0,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1507.56,0.768048,4199792633,stable,Albert,2020-02-01T10:32:53,0.0.5
0.6963600000000001,0.767663,14402.2,1,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1792.81,0.767663,4199792634,stable,Albert,2020-02-01T16:25:03,0.0.5
0.699911,0.771374,14377.5,2,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1816.93,0.771374,4199792635,stable,Albert,2020-02-01T22:14:06,0.0.5
0.696571,0.767636,14492.5,3,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1832.79,0.767636,4199792636,stable,Albert,2020-02-02T04:04:59,0.0.5
0.699581,0.770161,14460.5,4,autogluon,openml.org/t/189356,,,local,19.0,19.0,,914.665,0.770161,4199792637,stable,Albert,2020-02-02T09:13:52,0.0.5
0.6966180000000001,0.768066,14499.3,5,autogluon,openml.org/t/189356,,,local,20.0,20.0,,2221.71,0.768066,4199792638,stable,Albert,2020-02-02T15:15:40,0.0.5
0.694596,0.764903,14495.3,6,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1726.69,0.764903,4199792639,stable,Albert,2020-02-02T21:05:15,0.0.5
0.7012510000000001,0.7724770000000001,14489.1,7,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1991.47,0.7724770000000001,4199792640,stable,Albert,2020-02-03T03:02:06,0.0.5
0.695466,0.767033,14417.1,8,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1923.63,0.767033,4199792641,stable,Albert,2020-02-03T08:56:20,0.0.5
0.693938,0.766215,14407.9,9,autogluon,openml.org/t/189356,,,local,20.0,20.0,,1792.39,0.766215,4199792642,stable,Albert,2020-02-03T14:41:07,0.0.5
0.9514799999999999,0.8860629999999999,13365.0,0,autogluon,openml.org/t/34539,,,local,22.0,22.0,,289.568,0.8860629999999999,851761560,stable,Amazon_employee_access,2020-02-01T08:52:11,0.0.5
0.952701,0.8571989999999999,13612.0,1,autogluon,openml.org/t/34539,,,local,22.0,22.0,,195.22799999999998,0.8571989999999999,851761561,stable,Amazon_employee_access,2020-02-01T12:48:39,0.0.5
0.9523950000000001,0.873403,13393.7,2,autogluon,openml.org/t/34539,,,local,22.0,22.0,,273.306,0.873403,851761562,stable,Amazon_employee_access,2020-02-01T16:48:08,0.0.5
0.9545319999999999,0.867526,13979.6,3,autogluon,openml.org/t/34539,,,local,22.0,22.0,,415.8,0.867526,851761563,stable,Amazon_employee_access,2020-02-01T21:01:04,0.0.5
0.956363,0.863934,13390.5,4,autogluon,openml.org/t/34539,,,local,22.0,22.0,,234.30700000000002,0.863934,851761564,stable,Amazon_employee_access,2020-02-02T00:54:51,0.0.5
0.949039,0.86466,13753.7,5,autogluon,openml.org/t/34539,,,local,22.0,22.0,,392.983,0.86466,851761565,stable,Amazon_employee_access,2020-02-02T05:05:14,0.0.5
0.954226,0.874346,13632.7,6,autogluon,openml.org/t/34539,,,local,22.0,22.0,,317.438,0.874346,851761566,stable,Amazon_employee_access,2020-02-02T09:09:58,0.0.5
0.952701,0.852632,13414.8,7,autogluon,openml.org/t/34539,,,local,22.0,22.0,,411.664,0.852632,851761567,stable,Amazon_employee_access,2020-02-02T13:13:44,0.0.5
0.954226,0.883285,13458.7,8,autogluon,openml.org/t/34539,,,local,22.0,22.0,,181.304,0.883285,851761568,stable,Amazon_employee_access,2020-02-02T17:08:42,0.0.5
0.954518,0.8806459999999999,13536.2,9,autogluon,openml.org/t/34539,,,local,22.0,22.0,,383.092,0.8806459999999999,851761569,stable,Amazon_employee_access,2020-02-02T21:15:03,0.0.5
0.995658,0.993768,12320.8,0,autogluon,openml.org/t/168868,,,local,22.0,22.0,,256.389,0.993768,1659836098,stable,APSFailure,2020-02-01T08:35:03,0.0.5
0.993158,0.992059,12642.8,1,autogluon,openml.org/t/168868,,,local,22.0,22.0,,250.298,0.992059,1659836099,stable,APSFailure,2020-02-01T12:25:36,0.0.5
0.9947370000000001,0.994499,12775.1,2,autogluon,openml.org/t/168868,,,local,22.0,22.0,,184.13299999999998,0.994499,1659836100,stable,APSFailure,2020-02-01T16:13:45,0.0.5
0.996711,0.9943540000000001,12530.7,3,autogluon,openml.org/t/168868,,,local,22.0,22.0,,279.66,0.9943540000000001,1659836101,stable,APSFailure,2020-02-01T20:01:33,0.0.5
0.996974,0.993459,12425.9,4,autogluon,openml.org/t/168868,,,local,22.0,22.0,,256.469,0.993459,1659836102,stable,APSFailure,2020-02-01T23:48:02,0.0.5
0.994474,0.995058,12499.4,5,autogluon,openml.org/t/168868,,,local,22.0,22.0,,277.093,0.995058,1659836103,stable,APSFailure,2020-02-02T03:36:08,0.0.5
0.995921,0.9920690000000001,12343.0,6,autogluon,openml.org/t/168868,,,local,22.0,22.0,,280.21299999999997,0.9920690000000001,1659836104,stable,APSFailure,2020-02-02T07:22:16,0.0.5
0.9952629999999999,0.993131,12544.2,7,autogluon,openml.org/t/168868,,,local,22.0,22.0,,279.355,0.993131,1659836105,stable,APSFailure,2020-02-02T11:11:58,0.0.5
0.994868,0.990994,12566.8,8,autogluon,openml.org/t/168868,,,local,22.0,22.0,,226.463,0.990994,1659836106,stable,APSFailure,2020-02-02T15:00:13,0.0.5
0.9957889999999999,0.9912059999999999,12665.3,9,autogluon,openml.org/t/168868,,,local,22.0,22.0,,5.30714,0.9912059999999999,1659836107,stable,APSFailure,2020-02-02T18:41:36,0.0.5
0.8695649999999999,0.949066,814.5,0,autogluon,openml.org/t/146818,,,local,11.0,11.0,,13.9356,0.949066,2588501413,stable,Australian,2020-02-01T05:07:00,0.0.5
0.8550719999999999,0.9261459999999999,792.7,1,autogluon,openml.org/t/146818,,,local,11.0,11.0,,14.8126,0.9261459999999999,2588501414,stable,Australian,2020-02-01T05:22:18,0.0.5
0.8695649999999999,0.92275,791.4,2,autogluon,openml.org/t/146818,,,local,11.0,11.0,,13.0055,0.92275,2588501415,stable,Australian,2020-02-01T05:37:31,0.0.5
0.8695649999999999,0.9507639999999999,786.4,3,autogluon,openml.org/t/146818,,,local,11.0,11.0,,39.9991,0.9507639999999999,2588501416,stable,Australian,2020-02-01T05:53:34,0.0.5
0.884058,0.949915,800.9,4,autogluon,openml.org/t/146818,,,local,11.0,11.0,,12.4565,0.949915,2588501417,stable,Australian,2020-02-01T06:08:55,0.0.5
0.898551,0.977929,790.5,5,autogluon,openml.org/t/146818,,,local,11.0,11.0,,39.8409,0.977929,2588501418,stable,Australian,2020-02-01T06:25:01,0.0.5
0.8405799999999999,0.9193549999999999,798.8,6,autogluon,openml.org/t/146818,,,local,11.0,11.0,,28.5344,0.9193549999999999,2588501419,stable,Australian,2020-02-01T06:40:54,0.0.5
0.884058,0.9401709999999999,823.9,7,autogluon,openml.org/t/146818,,,local,11.0,11.0,,27.7158,0.9401709999999999,2588501420,stable,Australian,2020-02-01T06:57:09,0.0.5
0.884058,0.9717950000000001,844.7,8,autogluon,openml.org/t/146818,,,local,11.0,11.0,,28.505,0.9717950000000001,2588501421,stable,Australian,2020-02-01T07:13:46,0.0.5
0.8405799999999999,0.9341879999999999,856.3,9,autogluon,openml.org/t/146818,,,local,11.0,11.0,,16.5605,0.9341879999999999,2588501422,stable,Australian,2020-02-01T07:30:11,0.0.5
0.911101,0.9407479999999999,13290.8,0,autogluon,openml.org/t/14965,,,local,22.0,22.0,,108.492,0.9407479999999999,696297133,stable,bank-marketing,2020-02-01T08:38:35,0.0.5
0.9068790000000001,0.937969,13249.2,1,autogluon,openml.org/t/14965,,,local,22.0,22.0,,98.9258,0.937969,696297134,stable,bank-marketing,2020-02-01T12:23:59,0.0.5
0.917939,0.94642,13211.2,2,autogluon,openml.org/t/14965,,,local,22.0,22.0,,109.505,0.94642,696297135,stable,bank-marketing,2020-02-01T16:09:10,0.0.5
0.912409,0.9392870000000001,12978.7,3,autogluon,openml.org/t/14965,,,local,22.0,22.0,,91.1788,0.9392870000000001,696297136,stable,bank-marketing,2020-02-01T19:50:09,0.0.5
0.9126299999999999,0.94263,13234.1,4,autogluon,openml.org/t/14965,,,local,22.0,22.0,,100.491,0.94263,696297137,stable,bank-marketing,2020-02-01T23:35:34,0.0.5
0.9044459999999999,0.933831,13017.6,5,autogluon,openml.org/t/14965,,,local,22.0,22.0,,94.6503,0.933831,696297138,stable,bank-marketing,2020-02-02T03:17:31,0.0.5
0.9048879999999999,0.9286469999999999,13194.3,6,autogluon,openml.org/t/14965,,,local,22.0,22.0,,123.78200000000001,0.9286469999999999,696297139,stable,bank-marketing,2020-02-02T07:02:50,0.0.5
0.912409,0.947418,10378.1,7,autogluon,openml.org/t/14965,,,local,22.0,22.0,,96.0245,0.947418,696297140,stable,bank-marketing,2020-02-02T10:00:05,0.0.5
