acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.876151,0.9323229999999999,673.8,0,autogluon_nobag,openml.org/t/7592,,,local,11.0,11.0,,1.71721,0.9323229999999999,1097994856,stable,adult,2020-02-03T08:39:52,0.0.5
,,2.6,1,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 1,,local,,,,,,1097994857,stable,adult,2020-02-03T08:39:55,0.0.5
,,2.5,2,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 2,,local,,,,,,1097994858,stable,adult,2020-02-03T08:39:57,0.0.5
,,2.5,3,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 3,,local,,,,,,1097994859,stable,adult,2020-02-03T08:40:00,0.0.5
,,2.5,4,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 4,,local,,,,,,1097994860,stable,adult,2020-02-03T08:40:02,0.0.5
,,2.6,5,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 5,,local,,,,,,1097994861,stable,adult,2020-02-03T08:40:05,0.0.5
,,2.6,6,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 6,,local,,,,,,1097994862,stable,adult,2020-02-03T08:40:07,0.0.5
,,2.6,7,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 7,,local,,,,,,1097994863,stable,adult,2020-02-03T08:40:10,0.0.5
,,2.6,8,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 8,,local,,,,,,1097994864,stable,adult,2020-02-03T08:40:12,0.0.5
,,2.6,9,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 9,,local,,,,,,1097994865,stable,adult,2020-02-03T08:40:15,0.0.5
0.673705,0.729561,7097.3,0,autogluon_nobag,openml.org/t/189354,,,local,9.0,9.0,,10.5327,0.729561,3194934355,stable,Airlines,2020-02-03T10:29:47,0.0.5
,,17.7,1,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 1,,local,,,,,,3194934356,stable,Airlines,2020-02-03T10:30:05,0.0.5
,,17.5,2,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 2,,local,,,,,,3194934357,stable,Airlines,2020-02-03T10:30:22,0.0.5
,,17.6,3,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 3,,local,,,,,,3194934358,stable,Airlines,2020-02-03T10:30:40,0.0.5
,,17.6,4,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 4,,local,,,,,,3194934359,stable,Airlines,2020-02-03T10:30:58,0.0.5
,,17.6,5,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 5,,local,,,,,,3194934360,stable,Airlines,2020-02-03T10:31:15,0.0.5
,,17.5,6,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 6,,local,,,,,,3194934361,stable,Airlines,2020-02-03T10:31:33,0.0.5
,,17.6,7,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 7,,local,,,,,,3194934362,stable,Airlines,2020-02-03T10:31:50,0.0.5
,,17.5,8,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 8,,local,,,,,,3194934363,stable,Airlines,2020-02-03T10:32:08,0.0.5
,,17.7,9,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 9,,local,,,,,,3194934364,stable,Airlines,2020-02-03T10:32:25,0.0.5
0.69255,0.764506,1559.9,0,autogluon_nobag,openml.org/t/189356,,,local,11.0,11.0,,21.8003,0.764506,2315097388,stable,Albert,2020-02-03T09:04:54,0.0.5
,,217.7,1,autogluon_nobag,openml.org/t/189356,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 1,,local,,,,,,2315097389,stable,Albert,2020-02-03T09:08:32,0.0.5
,,217.7,2,autogluon_nobag,openml.org/t/189356,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 2,,local,,,,,,2315097390,stable,Albert,2020-02-03T09:12:10,0.0.5
,,213.3,3,autogluon_nobag,openml.org/t/189356,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 3,,local,,,,,,2315097391,stable,Albert,2020-02-03T09:15:43,0.0.5
,,217.6,4,autogluon_nobag,openml.org/t/189356,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 4,,local,,,,,,2315097392,stable,Albert,2020-02-03T09:19:21,0.0.5
,,221.9,5,autogluon_nobag,openml.org/t/189356,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 5,,local,,,,,,2315097393,stable,Albert,2020-02-03T09:23:03,0.0.5
