acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.8767659999999999,0.93179,6490.0,0,GoogleAutoMLTables_benchmark,openml.org/t/7592,,,local,-1.0,-1.0,,174.46,0.93179,1600687265,stable,adult,2020-01-29T14:31:08,0.0.1
,,2.6,1,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,1600687266,stable,adult,2020-01-29T14:31:10,0.0.1
,,2.6,2,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,1600687267,stable,adult,2020-01-29T14:31:13,0.0.1
,,2.5,3,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,1600687268,stable,adult,2020-01-29T14:31:15,0.0.1
,,2.7,4,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,1600687269,stable,adult,2020-01-29T14:31:18,0.0.1
,,2.6,5,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,1600687270,stable,adult,2020-01-29T14:31:21,0.0.1
,,2.6,6,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,1600687271,stable,adult,2020-01-29T14:31:23,0.0.1
,,2.5,7,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,1600687272,stable,adult,2020-01-29T14:31:26,0.0.1
,,2.6,8,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,1600687273,stable,adult,2020-01-29T14:31:28,0.0.1
,,2.6,9,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 9,,local,,,,,,1600687274,stable,adult,2020-01-29T14:31:31,0.0.1
0.673798,0.729847,15945.9,0,GoogleAutoMLTables_benchmark,openml.org/t/189354,,,local,-1.0,-1.0,,309.808,0.729847,1072089193,stable,Airlines,2020-01-31T00:42:58,0.0.1
,,17.8,1,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,1072089194,stable,Airlines,2020-01-31T00:43:16,0.0.1
,,17.7,2,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,1072089195,stable,Airlines,2020-01-31T00:43:34,0.0.1
,,17.8,3,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,1072089196,stable,Airlines,2020-01-31T00:43:52,0.0.1
,,17.5,4,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,1072089197,stable,Airlines,2020-01-31T00:44:09,0.0.1
,,17.8,5,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,1072089198,stable,Airlines,2020-01-31T00:44:27,0.0.1
,,17.6,6,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,1072089199,stable,Airlines,2020-01-31T00:44:44,0.0.1
,,17.8,7,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,1072089200,stable,Airlines,2020-01-31T00:45:02,0.0.1
,,17.6,8,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,1072089201,stable,Airlines,2020-01-31T00:45:20,0.0.1
